program,call_site,call_kind,function_start,source_path,line,expression,message
wiz8--demo--wiz8--8acda50afe39,0042d030,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,413,m_pusMeshPropLookup,ReadOctFile: Couldn't allocate Mesh Prop Lookup Table.
wiz8--demo--wiz8--8acda50afe39,0042d0d5,register-indirect,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,420,m_pusMeshProps,ReadOctFile: Couldn't allocate Mesh Prop Link Table.
wiz8--demo--wiz8--8acda50afe39,0042d17e,register-indirect,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,430,fSuccess && (uiTerminator==0xffffffff),"ReadOctFile: Mesh, Prop, and Particle data longer than expected."
wiz8--demo--wiz8--8acda50afe39,0042d284,register-indirect,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,449,m_pPropSunBits,ReadOctFile: Couldn't allocate Prop Sun Bits.
wiz8--demo--wiz8--8acda50afe39,0042d2ad,register-indirect,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,450,m_pPropSunBits->Load(hOctFile),ReadOctFile: Failure reading Prop Sun Bits.
wiz8--demo--wiz8--8acda50afe39,0042d45f,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,478,fSuccess && (uiTerminator==0xffffffff),ReadOctFile: GameData portion of Oct file longer than expected.
wiz8--demo--wiz8--8acda50afe39,0042e5a7,direct,0042da80,E:\Wizardry 8\Engine Code\Octree.cpp,870,m_pfRegsVisited,InitOctree: Couldn't allocate m_pfRegsVisited.
wiz8--demo--wiz8--8acda50afe39,0042e600,direct,0042da80,E:\Wizardry 8\Engine Code\Octree.cpp,878,m_aulGDObjs,InitOctree: Couldn't allocate m_aulGDObjs.
wiz8--demo--wiz8--8acda50afe39,0042ec51,direct,0042ec20,E:\Wizardry 8\Engine Code\Octree.cpp,1153,m_usNumPropsLoaded<(UINT16)m_ulNumProps,Too many props loaded for Octree
wiz8--demo--wiz8--8acda50afe39,0042ecd1,direct,0042eca0,E:\Wizardry 8\Engine Code\Octree.cpp,1177,m_usNumParticlesLoaded<(UINT16)m_ulNumParticles,Too many particles loaded for Octree
wiz8--demo--wiz8--8acda50afe39,004312bb,direct,00431250,E:\Wizardry 8\Engine Code\Octree.cpp,2563,usProp<=m_usMeshParticlesLen,Particle lookup index out of range
wiz8--demo--wiz8--8acda50afe39,00431367,direct,00431250,E:\Wizardry 8\Engine Code\Octree.cpp,2583,usProp<=m_usMeshPropsLen,Prop lookup index out of range
wiz8--demo--wiz8--8acda50afe39,0043c054,direct,0043bfc0,E:\Wizardry 8\Engine Code\BitArray.cpp,55,puiIndex,BitArray: Couldn't allocate bit index.
wiz8--demo--wiz8--8acda50afe39,0043c151,direct,0043c0a0,E:\Wizardry 8\Engine Code\BitArray.cpp,85,puiIndex,BitArray: Couldn't allocate bit index.
wiz8--demo--wiz8--8acda50afe39,0043ca89,direct,0043ca00,E:\Wizardry 8\Engine Code\BitArray.cpp,737,pulNewArray,BitArray Expansion: Couldn't allocate bit index.
wiz8--demo--wiz8--8acda50afe39,0043d0d1,direct,0043d0a0,E:\Wizardry 8\Engine Code\Trigger.cpp,383,hFile,
wiz8--demo--wiz8--8acda50afe39,0043d426,direct,0043d0a0,E:\Wizardry 8\Engine Code\Trigger.cpp,492,hFile,
