program,address,section,storage,kind,reference_count,function_count,access_kinds,widths,extent_upper,extent_bytes,preview
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9b8,.rdata,initialized,import-slot,1,1,read,4,005eb9bc,4,SR.DLL!?addPolygon@srModeler@@QAEXABVPolygon@1@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9bc,.rdata,initialized,import-slot,1,1,read,4,005eb9c0,4,SR.DLL!??0Vertex@srModeler@@QAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9c0,.rdata,initialized,import-slot,1,1,read,4,005eb9c4,4,SR.DLL!??0Polygon@srModeler@@QAE@H@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9c4,.rdata,initialized,import-slot,1,1,read,4,005eb9c8,4,SR.DLL!?getSurfacePtr@srTextureMap@@QBEPAVsrColorSurfaceIFace@@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9c8,.rdata,initialized,import-slot,4,4,read,4,005eb9cc,4,SR.DLL!?scale@srMeshModel@@QAEXABV?$srVector3T@M@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9cc,.rdata,initialized,import-slot,3,3,read,4,005eb9d0,4,SR.DLL!?rotateX@srNode@@QAEXN@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9d0,.rdata,initialized,import-slot,1,1,read,4,005eb9d4,4,SR.DLL!?setWorldSpaceMatrix@srNode@@QAEXABV?$srMatrix4T@N@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9d4,.rdata,initialized,import-slot,3,3,read,4,005eb9d8,4,SR.DLL!?getWorldSpaceMatrix@srNode@@QBEXAAV?$srMatrix4T@M@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9d8,.rdata,initialized,import-slot,3,2,read,4,005eb9dc,4,SR.DLL!?process@srLight@@UAEXABUProcessInfo@srNode@@W4e_processType@3@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9dc,.rdata,initialized,import-slot,1,1,read,4,005eb9e0,4,SR.DLL!?traverse@srLight@@UAEXAAVTraverseInfo@srNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9e0,.rdata,initialized,import-slot,1,1,read,4,005eb9e4,4,SR.DLL!?process@srLight@@UAEXAAVsrVertexPipe@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9e4,.rdata,initialized,import-slot,1,1,read,4,005eb9e8,4,SR.DLL!?isActive@srLight@@UAEHAAVsrVertexPipe@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9e8,.rdata,initialized,import-slot,1,1,read,4,005eb9ec,4,SR.DLL!?dump@srLight@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9ec,.rdata,initialized,import-slot,9,1,read,4,005eb9f0,4,SR.DLL!??1srLight@@UAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9f0,.rdata,initialized,import-slot,6,6,read,4,005eb9f4,4,SR.DLL!??0srLight@@QAE@PAVsrNode@@W4e_preset@0@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9f4,.rdata,initialized,import-slot,5,1,read,4,005eb9f8,4,SR.DLL!??1srIlluminator@@UAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9f8,.rdata,initialized,import-slot,3,3,read,4,005eb9fc,4,SR.DLL!??4srLight@@QAEAAV0@ABV0@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb9fc,.rdata,initialized,import-slot,1,1,read,4,005eba00,4,SR.DLL!??_7srLight@@6BsrVertexProcessor@@@
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba00,.rdata,initialized,import-slot,1,1,read,4,005eba04,4,SR.DLL!??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba04,.rdata,initialized,import-slot,1,1,read,4,005eba08,4,SR.DLL!??0srIlluminator@@QAE@PAVsrNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba08,.rdata,initialized,import-slot,1,1,read,4,005eba0c,4,SR.DLL!??4srIlluminator@@QAEAAV0@ABV0@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba0c,.rdata,initialized,import-slot,2,1,read,4,005eba10,4,SR.DLL!?getRootNode@srCore@@QBEPAVsrNode@@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba10,.rdata,initialized,import-slot,1,1,read,4,005eba14,4,SR.DLL!?setWorldSpaceRotation@srNode@@QAEXABV?$srMatrix3T@N@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba14,.rdata,initialized,import-slot,1,1,read,4,005eba18,4,SR.DLL!?setRotation@srNode@@QAEXABV?$srVector3T@N@@0N@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba18,.rdata,initialized,import-slot,1,1,read,4,005eba1c,4,SR.DLL!?setupEyeSpaceNormal@srVertexPipe@@AAEXXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eba1c,.rdata,initialized,import-slot,1,1,read,4,005eba20,4,SR.DLL!?getGroupMask@srIlluminator@@QBEKXZ
