program,address,claimed_name,owner,confidence,name_origin,authority,aliases,source_path,source_line
wiz8,004be000,W8GrowableVector<W8VectorElement005ED1B8 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004be030,W8Vector005ED1B8::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004bea20,Monster::Monster,wiz8-engine-code,strong,original-source-path,string-backed,,,
wiz8,004beba0,Monster::scalar_deleting_destructor,wiz8-engine-code,strong,original-source-path,string-backed,,,
wiz8,004bebd0,Monster::Monster,wiz8-engine-code,strong,original-source-path,string-backed,,,
wiz8,004bee50,Monster::~Monster,wiz8-engine-code,strong,original-source-path,string-backed,,,
wiz8,004c3730,MonsterInstallVtable5ED290,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Monster.cpp,
wiz8,004c5710,MonsterHasPendingCycle,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c5770,MonsterUpdateMember18,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Monster.cpp,
wiz8,004c5780,MonsterGetScale,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c57a0,MonsterSetScale,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c57c0,MonsterGetScaleRange,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c57f0,MonsterGetCycle17State,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c5800,MonsterSetCycle17State,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c5820,MonsterGetRuntimeFlag5BC,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c5840,MonsterSetRuntimeFlag5BC,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c59b0,MonsterCallSlot10,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Monster.cpp,
wiz8,004c59e0,MonsterIsAnimating,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c5a00,MonsterSetAnimating,wiz8-engine-code,strong,original-runtime-string,string-backed,,Engine Code\Monster.cpp,4785
wiz8,004c5a80,MonsterIsCycleSupported,wiz8-engine-code,strong,original-runtime-string,string-backed,,Engine Code\Monster.cpp,
wiz8,004c5aa0,MonsterSetPendingCycle,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c5b30,MonsterGetObject0C,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Monster.cpp,
wiz8,004c5b40,MonsterQuery,wiz8-engine-code,strong,original-runtime-string,string-backed,,Engine Code\Monster.cpp,
wiz8,004c5e40,MonsterSetRuntimeBehaviour,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,135
wiz8,004c5ea0,MonsterForward4A84A0,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Monster.cpp,
wiz8,004c5ee0,MonsterHasCycle19Flag3,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c6140,MonsterForward4537E0,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Monster.cpp,
wiz8,004c6160,MonsterSetStateA0,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c6180,MonsterSetCycle,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c61a0,MonsterSetBehaviour,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004c61c0,MonsterSetSubCycle,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004ca4c0,Monster::IsDying,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\Monster.cpp,
wiz8,004cad00,W8Vector005ED2C8::W8Vector005ED2C8,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004cad60,W8Vector005ED2C8::~W8Vector005ED2C8,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004cad80,W8Vector005EC018::W8Vector005EC018,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004cade0,W8GrowableVector<W8VectorElement005ED2C8 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004cae10,W8Vector005ED2C8::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004d6430,stGroundShadow::stGroundShadow,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\stGroundShadow.cpp,
wiz8,004d6540,stGroundShadow::traverse,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\stGroundShadow.cpp,
wiz8,004d6640,stGroundShadow::process,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\stGroundShadow.cpp,
wiz8,004d69a0,stGroundShadow::getClassID,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\stGroundShadow.cpp,
wiz8,004d69b0,stGroundShadow::getClassName,wiz8-engine-code,exact,original-runtime-string,string-backed,,Engine Code\stGroundShadow.cpp,
wiz8,004d69c0,stGroundShadow::getClassNode,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\stGroundShadow.cpp,
wiz8,004d6a30,stGroundShadow::vslot7,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\stGroundShadow.cpp,
wiz8,004d6bf0,stGroundShadow::vInstance,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\stGroundShadow.cpp,
wiz8,004d8f00,SpawnMonsters,fan-patch-oracle,strong,fan-patch-signature,external-semantic,,,
wiz8,004d8f80,CreateAndPlaySoundNode,fan-patch-oracle,strong,fan-patch-signature,external-semantic,,,
wiz8,004dcd40,TriggerArrowTrap,fan-patch-oracle,strong,fan-patch-signature,external-semantic,,,
wiz8,004e3930,CreateMonsterInfo,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e3af0,RemoveMonster,wiz8-monster-system,strong,original-runtime-string,string-backed,DestroyMonster,Local Code\MonsterManager.cpp,642
wiz8,004e4050,ActivateMonster,wiz8-monster-system,strong,original-runtime-string,string-backed,,Local Code\MonsterManager.cpp,501
wiz8,004e4280,DeactivateMonster,wiz8-monster-system,strong,original-runtime-string,string-backed,,Local Code\MonsterManager.cpp,576
wiz8,004e4600,Function4E4600,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e4690,MonsterStartsDying,wiz8-monster-system,exact,original-runtime-string,string-backed,,Local Code\MonsterManager.cpp,
wiz8,004e46f0,MonsterDies,wiz8-monster-system,strong,original-runtime-string,string-backed,,Local Code\MonsterManager.cpp,1513
wiz8,004e4db0,StartMonsterCycle,wiz8-monster-system,strong,original-runtime-string,string-backed,,Local Code\MonsterManager.cpp,1175
wiz8,004e5150,GetMonsterName,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\MonsterManager.cpp,1513
wiz8,004e5550,MonsterGetIndexByLocationID,wiz8-monster-system,exact,fan-patch-signature,external-semantic,,Local Code\MonsterManager.cpp,
wiz8,004e5620,MonsterGetScriptPartByLocationIndex,wiz8-monster-system,strong,fan-patch-signature,external-semantic,,Local Code\MonsterManager.cpp,
wiz8,004e5720,GetMonsterDataForInfo,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e57c0,MonsterDBFromSpecies,wiz8-monster-system,exact,fan-patch-signature|official-demo|original-runtime-string,string-backed,GetMonsterDataByID,Local Code\MonsterManager.cpp,1523
wiz8,004e5840,MonsterInfoFromID,wiz8-monster-system,exact,original-runtime-string,string-backed,,Local Code\MonsterManager.cpp,
wiz8,004e58b0,GetMonsterDataByLocationID,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5950,GetMonsterByLocationID,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5990,GetMonsterRecordScaledFloat1BA,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5a50,UpdateMonsterDamageAppearance,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5aa0,GetNextMonsterInfo,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5af0,GetMonsterQuadrant,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5b50,Function4E5B50,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5c00,ProcessMonstersAtCombatEnd,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5d00,ConvertMonsterAttributes,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5e50,FindMonsterInfoBySpecies,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5ea0,ResetLivingMonstersAfterCombat,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e5f00,DestroyUngroupedMonsters,wiz8-monster-system,strong,descriptive,descriptive,,Local Code\MonsterManager.cpp,
wiz8,004e6020,SetMonsterControlState,wiz8-monster-system,exact,descriptive,descriptive,,Local Code\MonsterManager.cpp,2139
wiz8,004e60b0,MonsterInfoSetMotionless,wiz8-monster-system,exact,original-runtime-string,string-backed,,Local Code\MonsterManager.cpp,
