program,module,table,class_name,enclosing_scope,subobject,table_rva,slot,target_rva,target_name,target_signature,resolution
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,10,0x50510,?getLocalBounds@srNode@@UAEXAAUBoundInfo@1@@Z,public: virtual void __thiscall srNode::getLocalBounds(struct srNode::BoundInfo &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,11,0x50500,?updateBounds@srNode@@UAEXXZ,public: virtual void __thiscall srNode::updateBounds(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srLight,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x770c4,12,0x50690,?processSignal@srNode@@MAEHKPAX@Z,"protected: virtual int __thiscall srNode::processSignal(unsigned long, void *)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6BsrVertexProcessor@@@,srLight,,srVertexProcessor,0x770b8,0,0x4f310,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6BsrVertexProcessor@@@,srLight,,srVertexProcessor,0x770b8,1,0x4ccc0,?isActive@srLight@@UAEHAAVsrVertexPipe@@@Z,public: virtual int __thiscall srLight::isActive(class srVertexPipe &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srLight@@6BsrVertexProcessor@@@,srLight,,srVertexProcessor,0x770b8,2,0x4ce00,?process@srLight@@UAEXAAVsrVertexPipe@@@Z,public: virtual void __thiscall srLight::process(class srVertexPipe &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,0,0x16030,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,1,0x16020,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,2,0x16040,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,3,0x33fc0,?dump@srMaterial@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z,"public: virtual void __thiscall srMaterial::dump(class std::basic_ostream<char, struct std::char_traits<char>> &)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,4,0x335d0,?verify@srMaterial@@UAEXW4e_verify@srRuntimeClass@@@Z,public: virtual void __thiscall srMaterial::verify(enum srRuntimeClass::e_verify),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,5,0x345e0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,6,0x343c0,?vInstance@srMaterial@@UAEPAVsrClass@@XZ,public: virtual class srClass * __thiscall srMaterial::vInstance(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,7,0x160a0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,8,0x33b50,?getMaterialInfo@srMaterial@@UAEXAAUMaterialInfo@srVertexProcessor@@@Z,public: virtual void __thiscall srMaterial::getMaterialInfo(struct srVertexProcessor::MaterialInfo &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srMaterial@@6B@,srMaterial,,,0x75538,9,0x33c00,?preProcess@srMaterial@@UAEXAAVsrVertexPipe@@@Z,public: virtual void __thiscall srMaterial::preProcess(class srVertexPipe &),exported
