program,address,section,kind,slot_count,boundary,vptr_write_count,store_displacements,pure_virtual_slots,adjustor_thunk_slots,import_slots,allocation_sizes
wiz8--demo--wiz8--8acda50afe39,005f8f38,.rdata,vftable,18,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8fa8,.rdata,vftable,13,code-reference-boundary,1,0x0,0,0,7,
wiz8--demo--wiz8--8acda50afe39,005f8fdc,.rdata,vftable,13,code-reference-boundary,4,0x0,0,0,8,0x150
wiz8--demo--wiz8--8acda50afe39,005f9010,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9014,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9048,.rdata,vftable,2,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9050,.rdata,vftable,5,code-reference-boundary,2,0x0,3,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9088,.rdata,vftable,1,code-reference-boundary,0,,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f908c,.rdata,vftable,1,code-reference-boundary,6,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f9090,.rdata,vftable,1,code-reference-boundary,4,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f90c8,.rdata,vftable,3,code-reference-boundary,1,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f90e8,.rdata,vftable,13,code-reference-boundary,2,0x0,0,0,5,
wiz8--demo--wiz8--8acda50afe39,005f911c,.rdata,vftable,13,code-reference-boundary,4,0x0,0,0,8,0x140
wiz8--demo--wiz8--8acda50afe39,005f9178,.rdata,vftable,13,code-reference-boundary,2,0x0,0,0,8,0x150
wiz8--demo--wiz8--8acda50afe39,005f91ac,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f91b0,.rdata,vftable,1,code-reference-boundary,3,0x0 0x24,0,0,0,
