program,site,function_start,object_offset,vtable,allocation_size
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8a47,004a87a0,0x0,005ecee0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8a6a,004a87a0,0x0,005ecedc,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8b39,004a87a0,0x0,005ecedc,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8e7b,004a8e70,0x0,005ecee8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8ea8,004a8e70,0x0,005ecee4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8eb8,004a8e70,0x0,005ecee4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8ed4,004a8e70,0x0,005ecee8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8ef7,004a8ef0,0x0,005ecee8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8f47,004a8f40,0x0,005eced8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8f94,004a8f70,0x0,005eced8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8fb7,004a8fb0,0x0,005eced0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a9004,004a8fe0,0x0,005eced0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a9027,004a9020,0x0,005ecee0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a9074,004a9050,0x0,005ecee0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a909b,004a9090,0x0,005ec298,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a934a,004a91f0,0x0,005ecf00,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a97b3,004a9750,0x0,005ecf04,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a97d6,004a9750,0x0,005ecf00,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a97e5,004a9750,0x0,005ecf00,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a99ab,004a9810,0x0,005ecf04,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a99cc,004a9810,0x0,005ecf00,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a99d7,004a9810,0x0,005ecf00,
wiz8--gog-1261--wiz8new--57a3072c2f83,004aaac7,004aaac0,0x0,005ecf04,
wiz8--gog-1261--wiz8new--57a3072c2f83,004aab14,004aaaf0,0x0,005ecf04,
wiz8--gog-1261--wiz8new--57a3072c2f83,004aab3b,004aab30,0x0,005ecf04,
wiz8--gog-1261--wiz8new--57a3072c2f83,004aada9,004aad20,0x0,005ecf18,
wiz8--gog-1261--wiz8new--57a3072c2f83,004aae86,004aad20,0x0,005ec298,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004aaea7,004aad20,0x0,005ec294,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004aaeb2,004aad20,0x0,005ec294,
wiz8--gog-1261--wiz8new--57a3072c2f83,004aaf5b,004aad20,0x0,005ecca4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004aaf94,004aad20,0x0,005ecc64,
wiz8--gog-1261--wiz8new--57a3072c2f83,004aaf9a,004aad20,0x138,005ecc58,
wiz8--gog-1261--wiz8new--57a3072c2f83,004ab1e0,004ab1c0,0x0,005ecf18,
wiz8--gog-1261--wiz8new--57a3072c2f83,004ab37a,004ab340,0x0,005ec298,
wiz8--gog-1261--wiz8new--57a3072c2f83,004ab399,004ab340,0x0,005ec294,
