program,funcinfo,magic,handler_thunk,frame_setup,eh_setup_start,max_state,try_block_count,unwind_signature
wiz8--gog-1261--wiz8new--57a3072c2f83,005f27e8,19930520,005e6179,004aeaa2,004aeaa0,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2810,19930520,005e6199,004af5a2,004af5a0,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2838,19930520,005e61c9,004b02f2,004b02f0,2,0,2|0|-1:object:-168|0:pointer:-172
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2868,19930520,005e61f9,004b03e2,004b03e0,2,0,2|0|-1:object:-204|0:pointer:-208
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2898,19930520,005e6229,004b06e2,004b06e0,2,0,2|0|-1:object:-168|0:pointer:-172
wiz8--gog-1261--wiz8new--57a3072c2f83,005f28c8,19930520,005e624b,004b07e2,004b07e0,1,0,1|0|-1:object:-168
wiz8--gog-1261--wiz8new--57a3072c2f83,005f28f0,19930520,005e6295,004b19f2,004b19f0,4,0,4|0|-1:object:-424|0:pointer:-428|0:pointer:-428|0:pointer:-428
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2930,19930520,005e62ab,004b1d92,004b1d90,1,0,1|0|-1:object:-184
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2958,19930520,005e62cb,004b3052,004b3050,1,0,1|0|-1:object:-248
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2980,19930520,005e62ee,004b3828,,1,0,1|0|-1:pointer:-10140
wiz8--gog-1261--wiz8new--57a3072c2f83,005f29a8,19930520,005e630b,004b3f92,004b3f90,1,0,1|0|-1:pointer:-104
wiz8--gog-1261--wiz8new--57a3072c2f83,005f29d0,19930520,005e6336,004b4642,004b4640,2,0,2|0|-1:pointer:-28|-1:pointer:-28
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2a00,19930520,005e6348,004b53d2,004b53d0,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2a28,19930520,005e6368,004b54a2,004b54a0,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2a50,19930520,005e638b,004b69a8,004b69a6,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2a78,19930520,005e63ab,004b6bd2,004b6bd0,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2aa0,19930520,005e63ce,004b8a78,004b8a76,1,0,1|0|-1:pointer:-1752
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2ac8,19930520,005e63eb,004b9282,004b9280,1,0,1|0|-1:pointer:12
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2af0,19930520,005e641c,004b95d8,004b95d6,2,0,2|0|-1:pointer:-276|-1:pointer:-276
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2b20,19930520,005e643e,004b98f2,004b98f0,1,0,1|0|-1:pointer:-276
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2b48,19930520,005e6461,004b9c02,004b9c00,2,0,2|0|-1:pointer-import:-16|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2b78,19930520,005e6479,004b9d12,004b9d10,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2ba0,19930520,005e6499,004ba282,004ba280,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2bc8,19930520,005e64cc,004ba3d2,004ba3d0,3,0,3|0|-1:pointer:-16|0:pointer-import:-16|0:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2c00,19930520,005e64e8,004bc5e2,004bc5e0,1,0,1|0|-1:object:-52
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2c28,19930520,005e6516,004bce22,004bce20,2,0,2|0|-1:object:-148|0:pointer:-104
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2c58,19930520,005e652e,004bd0d8,004bd0d6,1,0,1|0|-1:pointer:-944
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2c80,19930520,005e6590,004bea22,004bea20,4,0,4|0|-1:pointer:-16|0:pointer:-16|1:pointer:-16|2:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2cc0,19930520,005e6609,004bebd2,004bebd0,6,0,6|0|-1:pointer:-16|0:pointer:-16|1:pointer:-16|2:pointer:-16|3:pointer:-16|4:pointer:4
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2d10,19930520,005e6690,004bee52,004bee50,7,0,7|0|-1:pointer:-16|0:pointer:-16|1:pointer:-16|2:pointer:-16|3:pointer:-16|4:pointer-import:-20|4:pointer-import:-20
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2d68,19930520,005e66be,004bf0f8,004bf0f6,3,0,3|0|-1:pointer:-44|-1:pointer:-52|1:pointer:-52
