container,binary_path,binary_sha256,record_kind,origin,encoding,extension,value
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Quality.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\ReadLevel.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\ReadMesh.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\SoundEvent.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Spells.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\stCube.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\stMeshModel.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\stModelInstance.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\stParticle.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\stScript.cpp
